Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,10/14/2013 20:30,Point Arena,CA,USA,Triangle,"2 very different incidences a week apart, triangler (tonight), and very bright far away organish glow.(10/9/2013)",10/14/2013,
Open,10/14/2013 19:15,Oakland,CA,USA,Light,"Intense, stationary bright light in SF Bay Area sky.",10/14/2013,
Open,10/12/2013 23:30,Orangevale,CA,USA,Formation,Grouping of orange lights that moved in sync close over the house.,10/13/2013,
Open,10/12/2013 23:28,Orangevale,CA,USA,Fireball,8 Orange Fireballs In sky,10/26/2013,
Open,10/12/2013 00:00,Orangevale (Sacramento),CA,USA,Orb,swarm of 8 orange orbs stop and dispers in many directions...,10/14/2013,
Open,10/11/2013 19:33,Winterhaven,CA,USA,Orb,Saw up to 5 orbs in the sky at about 1900 hours. Went on for a while. 3 in the formation of a triangle and one quite a distance from th,10/11/2013,
Open,10/08/2013 08:00,Redondo Beach,CA,USA,Oval,Possible UFO over Redondo Beach trench?,10/13/2013,
Open,10/07/2013 21:00,Old Station,CA,USA,Triangle,Triangle shaped low flying quiet slow with lights with red center lights.,10/21/2013,
Open,10/06/2013 17:35,Los Angeles,CA,USA,Oval,2nd time witnessing two unidentified flying objects in Los Angeles,10/06/2013,
Open,10/06/2013 17:00,Torrance,CA,USA,Sphere,"I was driving in Carson Street, Torrance, California around 5PM, sky was bright and clear. I noticed up ahead a bright two spheres fly",10/07/2013,
Open,10/05/2013 21:30,Aptos,CA,USA,Disk,"Disc shaped object with multi-colored light array on bottom observed in Santa Cruz County, CA.",10/06/2013,
Open,10/05/2013 21:20,Encinitas,CA,USA,Circle,"Glowing/pulsating orange light, moving quickly & erratically in San Diego, CA.",10/06/2013,
Open,10/04/2013 13:00,Fowler,CA,USA,Rectangle,Hovered solid black square/rectangle shaped object had no sound and no lights.,10/04/2013,
Open,10/03/2013 23:00,Diamond Springs,CA,USA,Circle,Orange balls are everywhere.,02/08/2014,
Open,10/03/2013 19:00,Fresno,CA,USA,Oval,"A large Oval glowing white light Hovering over Grapevines in Fowler,Ca.",08/22/2020,
Open,10/02/2013 19:15,La Habra,CA,USA,Circle,"Circled shape object vanishes near La Habra, CA.",10/02/2013,
Open,10/02/2013 11:45,San Francisco,CA,USA,Sphere,Whitish/metallic sphere high in the sky over San Francisco CA.,10/07/2013,
Open,10/01/2013 09:42,Cobb Mountain,CA,USA,Fireball,Bright round orange/red fireball.,10/01/2013,
Open,10/01/2013 07:40,Bakersfield,CA,USA,Circle,"There was a metal looking star hovering several miles s/w of Bakersfield, Ca. my friend, girlfriend, and i were driving to the park an",10/01/2013,
Open,10/01/2013 02:00,Buellton,CA,USA,Unknown,Terrifying encounter with entity in my hotel room,12/22/2023,
Open,09/29/2013 20:15,San Diego,CA,USA,Fireball,Red light/fireball ascending over San Diego for 5 minutes.,09/30/2013,
Open,09/29/2013 20:00,San Clemente,CA,USA,Unknown,"Bright, white/orange light hovers over ocean",09/29/2013,
Open,09/28/2013 21:00,Sant Monica,CA,USA,Orb,A group of round bright orange lights moving silently and slowly across the sky in what appeared to be part of a larger craft.,12/13/2013,
Open,09/28/2013 19:50,Moreno Valley,CA,USA,Light,At least 8 orangish red star like spots in the night sky. maybe 1/2 mile away helicopter height in the sky. my husband & i saw them hov,09/27/2013,
Open,09/28/2013 18:40,Whittier,CA,USA,Light,Large light and small light over Southeast L.A. County,09/28/2013,
Open,09/28/2013 18:30,Northridge,CA,USA,Fireball,Fireball Flying Object (FFO); Look like fireballs but an actual craft (this is a new origin of new entities?),09/28/2013,
Open,09/28/2013 10:45,Los Angeles,CA,USA,Light,Spotted two glowing white circular shapes flying over Los Angeles,09/29/2013,
Open,09/28/2013 05:20,Palm Springs,CA,USA,Flash,I was waiting outside my car for someone and I saw a flash come from above me. I thought it was a low flying airplane but when I looked,09/28/2013,
Open,09/27/2013 21:43,Lawndale,CA,USA,Fireball,"Lawndale, CA  bright fireball-like object flashed across the sky going in a northwesterly direction, lasting approximately 10-30 second",09/27/2013,
Open,09/26/2013 21:58,Turlock,CA,USA,Light,"09/26/13, 21:58hours, what first appeared to be a magnitude 2 meteorite made a climbing ""U"" turn - and then disappeared.",09/27/2013,
Open,09/26/2013 21:00,Chicago Park,CA,USA,Flash,Flashing white an red lights 5 of them,09/26/2013,
Open,09/26/2013 20:55,Alameda,CA,USA,Unknown,Two red-lighted objects with red lights flowing down from them spotted over San Francisco Bay.,09/26/2013,
Open !,09/26/2013 20:23,Turlock,CA,USA,Chevron,"Observed a ""V"" shaped UFO with 15 whitish-yellow lights traverse 105 degrees of sky in 10 seconds, on a heading of 150.",09/26/2013,Y
Open,09/25/2013 21:00,Newport Beach,CA,USA,Triangle,Hovering black triangle with different colored lights- dropped vertically within 3-5 seconds.,10/08/2013,
Open,09/25/2013 13:40,Marin/San Rafael,CA,USA,Disk,Disk/Saucer shaped object hovering near Marin County in California for a few seconds and vanished @ 1340hrs on 9/25/13.,09/26/2013,
Open,09/23/2013 19:30,Prunedale,CA,USA,Fireball,Fireball with orange tail across monterey county california sky 9-23-13.,09/24/2013,
Open,09/22/2013 23:30,Carmichael,CA,USA,Formation,"Massive High Altitude Red/White Blinking Light 'V' Formation over Carmichael, CA.",11/29/2013,
Open,09/22/2013 21:25,Healdsburg,CA,USA,Unknown,This was a startling experience for both of us!,09/22/2013,
Open,09/22/2013 20:20,Sacramento,CA,USA,Formation,"Orange lights in the sky over Sacramento, CA.",09/23/2013,
Open,09/22/2013 20:20,Sacramento,CA,USA,Orb,20 orange orbs hovering over Sacramento for at least 30 minutes.,09/23/2013,
Open,09/21/2013 23:30,Tulare,CA,USA,Light,"Two flashing lights, possibly pursued by a very silent and bright aircraft.",09/22/2013,
Open,09/18/2013 20:10,Clearlake Oaks,CA,USA,Diamond,Diamond shaped white light four time the brightness of Venus in WSW sky visible for 15 minutes.,09/18/2013,
Open,09/17/2013 21:45,Riverside,CA,USA,Orb,"20-25 bright orange orbs in full moon night sky, formed a line and changed direction, then disappeared",09/17/2013,
Open,09/16/2013 23:00,San Diego,CA,USA,Unknown,"Around 11:18 pm I Saw a bright object hurdle down from sky. I  Initially dismissed it as a shooting star, until bright blue, pink and i",09/16/2013,
Open,09/16/2013 21:00,Burbank,CA,USA,Changing,"Saw a cigar,  boomering , highly glowing flying object hoovering over Burbank Ca 9/16/13 .",09/17/2013,
Open,09/16/2013 20:03,Windsor,CA,USA,Light,Bright light traveled away and faded into a redshift until I could no longer see it.,09/16/2013,
Open,09/15/2013 01:00,East Los Angeles,CA,USA,Circle,"A circular object hovering in the sky for 1-2 hours with red, green, and white flashing lights not going in any type of direction.",10/15/2013,
Open,09/14/2013 19:02,Morro Bay,CA,USA,Fireball,"No noise, larger than golf ball sized,approximately  1100 to 2200 feet elevation, bright orange, light emmitting in the shape of badmit",09/15/2013,
Open,09/13/2013 21:00,Dana Point,CA,USA,Fireball,"Saw orange fireball moving across sky. Smoothly, not blinking. Changed directions and then went upward until no longer visible.",09/13/2013,
Open,09/12/2013 23:30,Santa Barbara,CA,USA,Triangle,"Triangular, red and green lights, hovering and moving, varying from 300-1000+ feet in Santa Barbara, CA, 2 witnesses.",09/13/2013,
Open,09/12/2013 22:00,Pacoima,CA,USA,Circle,Color changing object in north east  sky.,09/15/2013,
Open,09/12/2013 21:30,Sebastopol,CA,USA,Changing,Bright green flashing lights in the sky,09/13/2013,
Open,09/12/2013 01:38,Moreno Valley,CA,USA,Light,"Object looked liked a star but it got so bright  like it illuminated it was scary, it took of like the speed if sound,they are here.",09/13/2013,
Open,09/12/2013 00:00,Capitola,CA,USA,Fireball,"My wife and I saw a glowing orange light moving around in the night sky near our home. A minute or so later, another light appeared bel",11/09/2013,
Open,09/11/2013 21:00,San Miguel,CA,USA,Triangle,The red light and the portal.,09/12/2013,
Open,09/11/2013 10:45,Cupertino,CA,USA,Unknown,"Red loud ufo, another big white light appeared in front of it then disappeared all Recorded for prove",09/12/2013,
Open,09/10/2013 20:00,Pine Mountain Club,CA,USA,Unknown,Circle of light in the night sky that shrank down to a small light that then disappeared into the heavens.,09/11/2013,
Open,09/10/2013 20:00,St. Helena,CA,USA,Flash,St Helena CA sighting (flash of light across the horizon),11/14/2013,
Open,09/10/2013 02:00,Hemet,CA,USA,Light,"2nd spotting in 3 days of light-point flying ovals, circular, short & long bursts, many stops & starts very high altitude no noise",09/10/2013,
Open,09/09/2013 22:00,Napa,CA,USA,Other,"Napa UFO,",09/09/2013,
Open,09/09/2013 09:51,San Diego,CA,USA,Light,2 white lights zig-zag over Qualcomm Stadium (Chargers vs Texans game) just before commercial break going it the 4th quarter,09/09/2013,
Open,09/08/2013 20:58,Lincoln,CA,USA,Flash,"Color changing and flashing light over Lincoln, CA.",09/08/2013,
Open,09/08/2013 01:30,Fresno,CA,USA,Orb,Slow moving pillar of orbs floating horizontally and passed by 4 people.,09/12/2013,
Open,09/07/2013 23:15,Petaluma,CA,USA,Circle,Orange/white circle travels at alarming speed over San Francisco area.,09/07/2013,
Open,09/07/2013 21:30,Petaluma,CA,USA,Circle,White/Orange sphere races across San Francisco area sky.,10/14/2013,
Open,09/07/2013 20:00,San Diego/Pacific Beach,CA,USA,Fireball,"We saw 6-10 orange balls of light appear from western sky over ocean heading east in a line at slow, consistent speed.",09/07/2013,
Open,09/06/2013 20:00,Hemet,CA,USA,Unknown,"Clear view very high altitude erratic light traveled in circular & short/long bursts, many stops/pauses.",09/06/2013,
Open,09/05/2013 20:30,Sacramento,CA,USA,Changing,"Bright white pulsating light, changing in shape and color (white, red, and blue).",09/06/2013,
Open,09/05/2013 20:00,Whittier,CA,USA,Circle,"2 Large round red pulsating objects in the sky appeared to be on fire.  Seen by 5 people in Whittier, CA.",09/06/2013,
Open,09/05/2013 20:00,Los Banos,CA,USA,Triangle,Lighted object hovering over lonely country road.,09/12/2013,
Open,09/05/2013 09:50,Susanville,CA,USA,Cigar,It turned sideways while still moving in the same direction.,09/05/2013,
Open,09/04/2013 23:30,Campbell,CA,USA,Fireball,"Campbell, CA. Sky Watch Report",09/05/2013,
Open,09/04/2013 21:09,San Diego,CA,USA,Light,Two crafts with red lights hovering over Tierrasanta.,09/04/2013,
Open,09/04/2013 19:40,Malibu,CA,USA,Diamond,A half green-half red diamond shaped craft moving west fast and silently,09/11/2013,
Open,09/04/2013 09:30,Santa Ana,CA,USA,Light,"3 extremely fast moving lights, in a delta formation, moving from N/W to S/E over southern California.",09/11/2013,
Open,07/16/2013 23:00,Baldwin Park,CA,USA,Changing,We walked outside and there was something that looked like a fireball in the sky. It fell downwards for a while and then expanded sort,07/16/2013,
Open,07/16/2013 22:55,W. Sacramento,CA,USA,Unknown,"Possible satellite - white light that flares up and then always blacks out. ((NUFORC Note: Iridium, or satellite? PD))",07/17/2013,
Open,07/16/2013 21:45,Mission Viejo,CA,USA,Unknown,"UFO over Mission Viejo, CA on July 16, 2013.",08/16/2019,
Open,07/16/2013 21:40,San Rafael/Novato,CA,USA,Triangle,"Noticed in distance red, white and blue lights on stationary rectangular object., which appeared triangular when we drove under it.",07/16/2013,
Open,07/16/2013 11:00,Shasta Lake,CA,USA,Orb,Bright white orb flying in a non authorized flight style,07/16/2013,
Open,07/15/2013 20:00,Hayfork,CA,USA,Fireball,"My mother and I shared a house in the mountains in Trinity county , Ca. I was winding up a day of working around the property, brushing",02/23/2017,
Open,07/15/2013 07:00,Taft,CA,USA,Unknown,Reflective pyrimid shaped object hovering and rotating for 30 min. heading NW very slowly.,07/16/2013,
Open,07/15/2013 03:30,Daly City/Pacifica,CA,USA,,"Three intensely bright flashes of white light pulsating in a series within 1 second without sound, but no object seen. Seen",07/15/2013,
Open,07/15/2013 01:00,Irvine,CA,USA,Sphere,11 cylinder shaped aircraft with very bright blue lights,07/15/2013,
Open,07/13/2013 22:30,Eastvale,CA,USA,Light,"Bright white light over corona ca, that flew fast and went dim.",07/15/2013,
Open,07/13/2013 20:45,Valley Village,CA,USA,Orb,2 Glowing orbs spotted over los angeles.,07/13/2013,
Open,07/13/2013 01:30,Chatsworth,CA,USA,Light,Bright star like object with red flashing lights,07/13/2013,
Open,07/12/2013 22:10,Elk Grove,CA,USA,Orb,Bright star like object moves fast before stopping and immiting bright white light,07/12/2013,
Open,07/12/2013 22:00,W. Sacramento,CA,USA,Unknown,Red light traveling from North to South slowly. No sound. Visible for only 10 seconds. Thought it was a plane at first but it blacked o,07/13/2013,
Open,07/12/2013 08:00,Anaheim,CA,USA,Light,"A bright star-like white light suddenly appeared around 8 a.m., a dark shaft appeared hanging down from it, then vanished.",07/15/2013,
Open,07/10/2013 23:30,San Marcos,CA,USA,Triangle,"UFO sighting above San Marcos, CA.",07/10/2013,
Open,07/10/2013 22:40,Blythe,CA,USA,Sphere,Two large Orange/Red spheres moving slow and very low.,09/23/2013,
Open,07/10/2013 21:45,Elk Grove,CA,USA,Circle,6 bright star like objects moving fast in the night sky,07/11/2013,
Open,07/09/2013 17:30,Manhattan Beach,CA,USA,Cigar,Beautiful clear late afternoon along the strand by the beach heading south towards the manhattan beach pier.,07/18/2013,
Open,07/08/2013 23:00,Sacramento,CA,USA,Circle,"A large, circular, bright, white light appeared in the night sky traveling at a high rate of speed and disappeared in thin air.",07/09/2013,
Open,07/07/2013 00:44,San Diego,CA,USA,Fireball,5 lights in a line moving upwards,07/07/2013,
Open,07/06/2013 20:55,Carlsbad,CA,USA,Oval,"Red/orange orb over Carlsbad, CA",07/06/2013,
Open,07/05/2013 23:20,Mojave,CA,USA,Triangle,Massive triangle object in the night sky.,07/06/2013,
Open,07/05/2013 22:30,Simi Valley,CA,USA,Circle,"Blue, green light emittting object seen moving erratically over Simi Valley, Ca.",07/06/2013,
Open,07/05/2013 21:30,W. Sacramento,CA,USA,Unknown,Whitish light from SE towards the NW that flares up for a second then always loses its reflection. ((NUFORC Note: Iridium? PD)),07/06/2013,
Open,07/04/2013 23:47,Redding,CA,USA,Light,Lighted craft hovers over Shasta Bally Mountain electronics.,07/07/2013,
Open,07/04/2013 22:30,Elk Grove,CA,USA,Light,"Preface: there are plenty of commercial planes, private planes, military planes and helicopters with Sac Int Airport, military, and sma",08/24/2013,
Open,07/04/2013 22:10,Scotts Valley,CA,USA,Orb,7 red orbs appearing one at a time out of nowhere just above the horizon,07/04/2013,
Open,07/04/2013 22:00,San Anselmo,CA,USA,Oval,07-04-13 Luminous object seen at close range for 10 minutes in hills of Marin County,04/07/2014,
Open,07/04/2013 21:48,Temecula,CA,USA,Light,"Two very bright 'stars,', one of them red, moving slowly from south to north then fading away.",07/07/2013,
Open,07/04/2013 21:30,Modesto,CA,USA,Orb,"Several glowing red orbs seen flying overhead from the west to the east the night of July 4th in Modesto, California.",07/04/2013,
Open,07/04/2013 21:15,Los Angeles,CA,USA,Sphere,Triple green-red sphere flying over LA,07/08/2013,
Open,07/04/2013 20:45,Orange,CA,USA,Light,Light in the sky dissappears after slowly flying towards the area where i live.,07/08/2013,
Open,07/04/2013 01:00,Loma Rica,CA,USA,Orb,"Red ""ball"" pulse once then out; white orb thought shooting star but really low and flashing light.",07/04/2013,
Open,07/03/2013 23:30,Fairfax to Woodacre,CA,USA,Light,"Bright flashes of light every 1 to 2 minutes, no sounds, no clouds in sky",07/04/2013,
Open,07/03/2013 21:29,South Gate,CA,USA,Orb,"Red glowing orb over South Gate, Ca.",07/03/2013,
Open,07/03/2013 21:00,Kerman,CA,USA,Unknown,Strange aircraft,08/11/2013,
Open,07/03/2013 04:48,Riverbank,CA,USA,Flash,Huge flash of light in sky.,07/03/2013,
Open,07/03/2013 01:30,Berkeley,CA,USA,Unknown,Strange lights in the fog.,07/08/2013,
Open,07/02/2013 16:00,Napa,CA,USA,Fireball,I was out side around 3:40 am and i seen two orange red dots or balls one i couldnt see for a while.,07/02/2013,
Open,07/02/2013 11:40,Monterey,CA,USA,Disk,Saucer,07/04/2013,
Open,06/30/2013 21:00,San Francisco,CA,USA,Fireball,Slowly falling red light with a second smaller white light shooting out of it.,03/15/2015,
Open,06/30/2013 20:30,Hacienda Heights,CA,USA,Orb,UFO red light follows plane LAX path over Hacienda Heights.,07/03/2013,
Open,06/30/2013 00:00,Vallejo,CA,USA,Other,Jet black an so quite an so so big. ((anonymous report)),02/15/2017,
Open,06/29/2013 21:30,Kelseyville,CA,USA,Unknown,Extremely bright hovering light.,06/30/2013,
Open,06/28/2013 22:00,Covina,CA,USA,Oval,Green oval and purple oval UFO in covina,06/29/2013,
Open,06/27/2013 23:55,Alpine,CA,USA,Other,Football shaped object w/no lights being chased by a helicopter.,06/28/2013,
Open,06/26/2013 21:30,Santa Cruz,CA,USA,Light,Bright White Light. ((NUFORC Note: Possibly a star?? PD)),06/26/2013,
Open,06/26/2013 00:00,Escalon,CA,USA,Light,"6/25/13 about midnight. Looking out my window toward the south, I saw what appeared to be two stars side by side. These were much l",06/26/2013,
Open,06/25/2013 23:00,Temecula,CA,USA,Circle,Bright swaying long lasting light,06/25/2013,
Open,06/25/2013 21:00,Hemet,CA,USA,Fireball,"Six red lights, each looked to be a round ring of lights, possibly solid, moving apparently west in the s.e. sky low on the horizon. Th",06/25/2013,
Open,06/25/2013 16:45,Palo Alto,CA,USA,Cylinder,Silver cylindrical shape with 4 smaller cylinders around the center hovering over the oval area of Stanford Univ campus.,06/26/2013,
Open,06/23/2013 21:08,Baker,CA,USA,Fireball,Ring in shape with appear to be 8 fireballs making the ring and then just disappeared.,06/26/2013,
Open,06/23/2013 21:00,Los Angeles,CA,USA,Circle,Fireball looking circle in the sky.,06/25/2013,
Open,06/23/2013 11:50,Seal Beach,CA,USA,Sphere,Daylight black sphere descends over Seal Beach golf course and disappears behing trees.,06/23/2013,
Open,06/23/2013 11:30,Big Bear,CA,USA,Light,It looked exactly like the daytime video I've seen from over mexico. Started out seeing one or two lights moving in a small section of,06/23/2013,
Open,06/23/2013 00:05,Santee,CA,USA,Circle,Bright green light over Santee Ca.,06/25/2013,
Open,06/22/2013 22:55,Eureka,CA,USA,Light,Multiple red flickering lights moving in unison.,06/22/2013,
Open,06/22/2013 22:20,San Bernardino,CA,USA,Circle,Circle shape crossing the moon.,06/22/2013,
Open,06/22/2013 22:10,Citrus Heights,CA,USA,Fireball,Orange fire balls flying.,06/22/2013,
Open,06/22/2013 22:00,Los Angeles,CA,USA,Unknown,Fast-moving white light.,07/14/2013,
Open,06/22/2013 21:00,Yorba Linda,CA,USA,Light,Small craft with white light vanishes.,06/23/2013,
Open,06/22/2013 03:30,Mt. Shasta,CA,USA,Sphere,6-22-13 approximately 3:30 am Looking southward (from the north) at Mount Shasta A big round white light appeared to enter our atmosp,06/22/2013,
Open,06/21/2013 22:25,West Sacramento,CA,USA,Unknown,"Unknown lighted or reflecting white-ish object traveling NW to SE, no sound,no red FAA required beacon lite",06/22/2013,
Open,06/21/2013 22:24,San Francisco,CA,USA,Orb,Bright light in the sky then dims out and vanishes as it moves south and east. ((NUFORC Note: Possible satellite?? PD)),06/21/2013,
Open,06/21/2013 22:00,El Cajon,CA,USA,Triangle,"21 June 2013 low altitude aerial contact in triangle shape, shifting colors from port & starboard side with 0 noise(trained lookout)USN",06/21/2013,
Open,06/20/2013 23:50,Westminster,CA,USA,Light,"Enormous oval shaped light, flashing on and off, illuminating through clouds as it moved at high rate of speed through sky.",06/21/2013,
Open,06/19/2013 22:35,West Sacramento,CA,USA,Unknown,Reddish light traveling from NE to SW..silent then vanished 30 seconds later.,06/20/2013,
Open,06/19/2013 22:15,Long Beach,CA,USA,Circle,"White round object seen in Long Beach, California.",06/19/2013,
Open,06/19/2013 01:30,Blythe,CA,USA,Sphere,Orange/ Red sphere 25 to 35 feet across moving slow and on a low level altitude,09/22/2013,
Open,06/15/2013 23:07,Merced,CA,USA,Fireball,Object also went from a bright red to orange.,06/16/2013,
Open,06/15/2013 21:00,Menifee,CA,USA,Light,Orange lights sighted above the city of Menifee Ca..,06/15/2013,
Open,06/15/2013 02:22,Garden Grove,CA,USA,Diamond,Orange in color diamond shaped lights seen in the sky hovering over garden grove.,06/15/2013,
Open,06/14/2013 21:20,Firebaugh,CA,USA,Unknown,"Appeared to be the size of a large UFO with 3 perfectly round bright white lights, flying 100' off of ground, very slow & silent.",06/17/2013,
Open,06/14/2013 21:00,Thousand Oaks,CA,USA,Flash,"Saw a large orange flash of light looking like a star t, was moving slowly and stopped, shrunk smaller and started moving quickly acro",06/14/2013,
Open,06/13/2013 22:30,Santa Cruz,CA,USA,Fireball,"Fire that rose in the night's sky in Santa Cruz, CA",06/14/2013,
Open,06/13/2013 21:00,Palm Desert,CA,USA,Rectangle,Object with blue and white lights bouncing around..,06/13/2013,
Open,06/13/2013 16:30,San Luis Obispo,CA,USA,Disk,A patterned flying object hovers until I completely pass by.,12/05/2013,
Open,06/12/2013 22:20,Citrus Heights,CA,USA,Fireball,Four fireballs move from west to east in the Sacramento sky.,06/20/2013,
Open,06/12/2013 21:00,Fowler,CA,USA,Cylinder,"A very bright multi colored light hovering for an hour in Fowler, Ca.",08/22/2020,
Open,06/12/2013 16:00,Pittsburg,CA,USA,Circle,"I was happening to open my bedroom window, when a glare from a silver aircraft caught my eye. This is to the south, towards Clayton/Mou",06/25/2013,
Open,06/11/2013 19:25,San Diego,CA,USA,Sphere,It was a shiny metalic sphere,06/11/2013,
Open,06/10/2013 20:00,Rancho Mirage,CA,USA,Flash,"Crafts observed of unknown type moving in formation then vanishing, followed by 5 large disk shaped ships.",06/11/2013,
Open,06/09/2013 22:20,City Height,CA,USA,Triangle,"V shape craft with 2 rows of big yellow lights + loud noise pass over City Height, San Diego CA",06/09/2013,
Open,06/09/2013 21:32,Cayucoc,CA,USA,Fireball,Chinese Lantern Like UFO's spotted in Central California Beach Town,06/26/2013,
Open,06/08/2013 22:00,San Jose,CA,USA,Diamond,A bright red oranged diamond light figure with green flares in the bottom passing by quitly moneuvering as it took off,06/08/2013,
Open,06/08/2013 20:25,Napa,CA,USA,Sphere,Yellow/Orange glowing sphere sighted by 4 people over Napa CA,06/08/2013,
Open,06/06/2013 23:00,Coloma,CA,USA,Cylinder,Two large pink and blue cylinder objects hanging in sky over Sierra Nevada Mountains.,02/17/2014,
Open,06/06/2013 21:35,W. Sacramento,CA,USA,Cylinder,Lighted from below/whitish lights front to rear with dark gap between front and rear headeding from sothwest to northeast but drifiiit,06/07/2013,
Open,06/06/2013 10:00,San Francisco,CA,USA,Other,"RE: Telephone Contact at 9:00 PM, Friday, 7 June, 2013. This morning at Approx. 10:00 AM, as I entered a Clinic in Downtown San Fra",06/07/2013,
Open,06/03/2013 22:00,Los Angeles,CA,USA,Fireball,Slow moveing golden fire balls stopped and hovered then glowed red and ascended out of sight slowly.,06/03/2013,
Open,06/03/2013 22:00,Sylmar,CA,USA,Fireball,3 YELLOW TURNING ORANGE THEN RED LIGHTS & DISAPPEARING IN THE SKY,06/04/2013,
Open,06/03/2013 21:02,Bakersfield,CA,USA,Cigar,"Looked like mars, but brighter, vertically. Moving unnaturally, undirectionally through the sky at a controlled speed",06/03/2013,
Open,06/03/2013 20:45,Los Angeles,CA,USA,Orb,"Glowing orb changing colors and zigzagging across the sky over Westwood, Los Angeles",06/03/2013,
Open,06/02/2013 21:45,Fresno,CA,USA,Orb,"6 glowing white orbs and two military jets sighted, two orbs nearly collided",06/04/2013,
Open,06/01/2013 23:50,Long Beach,CA,USA,Orb,I still have trouble believing this myself.,06/11/2013,
Open,06/01/2013 22:15,Citrus Heights,CA,USA,Fireball,"3 fireballs/orbs seen in the east, one followed by two more, bright orange short lived.",06/01/2013,
Open,06/01/2013 21:45,Sacramento,CA,USA,Unknown,20-30 orange/red lights flying over freeway,06/25/2013,
Open !,06/01/2013 20:00,Corona,CA,USA,Cigar,"While preparing to, and exiting the freeway the craft followed the driver's side of the car at a distance of 10-12 feet.",04/16/2023,
Open,06/01/2013 01:30,Cloverdale,CA,USA,Light,Lights in sky move back and forth while other lights form patterns.,06/02/2013,
Open,05/31/2013 22:20,Los Banos (near; on Interstate 5),CA,USA,Orb,"We saw three spherical-shaped, bright white lights erratically flying over a field adjacent to interstate 5 in approximately Los Banos,",06/06/2013,
Open,05/31/2013 21:45,Fresno,CA,USA,Orb,Formation of 6 orange orbs flying over fresno ca may 31st 2013,05/31/2013,
Open,05/31/2013 21:00,Sacramento,CA,USA,Fireball,Orange red glowing orbs chaging patterns and directions then zapping out,06/11/2013,
Open,05/31/2013 00:00,Tracy,CA,USA,Fireball,We seen 6 red balls of fire floating thru the sky at 9:10 pm first 3 separate then the other 3 close together no sound at all really we,05/31/2013,
Open,05/30/2013 22:15,Point Richmond,CA,USA,Triangle,1 person witnesses a dark triangular UFO with lights in a star-like cluster that crosses 1/3 of sky in about 5 seconds.,05/30/2013,
Open,05/30/2013 21:15,Sacramento,CA,USA,Fireball,6-7 Orange/red fireballs seen over Sacramento.,05/31/2013,
Open,05/30/2013 20:00,San Francisco,CA,USA,Cylinder,High altitude rod or cylinder shaped object with white blinking lights observed in SF.,05/30/2013,
Open,05/29/2013 09:11,Chino Hills,CA,USA,Diamond,Three bright Yellow/Orange round spiked objects in diagonal line.,05/30/2013,
Open,05/29/2013 03:15,La Mirada,CA,USA,Flash,Bright flash over house,05/29/2013,
Open,05/29/2013 02:20,Palmdale,CA,USA,Light,"At night, a bright orange light coming toward us and suddenly disappeared.",05/29/2013,
Open,05/28/2013 18:15,Moorpark,CA,USA,Light,6 very high bright lights silently meandering into various symmetrical formations.,05/28/2013,
Open,05/28/2013 13:30,San Luis Obispo,CA,USA,Disk,"Disc-shaped, possibly metallic, seemingly light-reflecting, object seen in photograph, but didn't notice it when I took the picture.",06/01/2013,
Open,05/27/2013 19:30,Porterville,CA,USA,Circle,"UFO paralleling a man made aircraft during a suspected ""chem-trail"" operation caught on video.",05/28/2013,
Open,05/26/2013 15:00,Sacramento,CA,USA,Circle,"UFO in first frame then cloaked from video, iPad video five minutes.",05/26/2013,
Open,05/26/2013 03:45,Orange,CA,USA,Light,Ball of light over Southern California.,05/26/2013,
Open,05/25/2013 23:30,Lake Shasta,CA,USA,Fireball,Saw an orange fireball move silently across the sky from west to east.,05/28/2013,
Open,05/25/2013 11:30,Borrego Springs,CA,USA,Rectangle,"Small object ""floats"" against the wind.",05/31/2013,
Open,05/24/2013 21:25,Santa Barbara,CA,USA,Light,Orange light over Santa Barbara,05/24/2013,
Open,05/24/2013 02:00,Palm Desert,CA,USA,Fireball,red pulising lights making triangle formations and hovering,05/24/2013,
Open,05/23/2013 17:06,Los Angeles,CA,USA,Unknown,"Strange directional ""swoosh"" sound in the sky near LAX draws attention of 3 witnesses to look up at an empty sky.",12/25/2013,
Open,05/22/2013 17:39,Sacramento,CA,USA,Triangle,At 5:39 pm I was in my backyard and saw lights out of the corner of my eye and looked up in the sky to see a triangular craft with 8 ye,05/22/2013,
Open,05/22/2013 07:00,Hayward,CA,USA,Changing,"Parked 50 feet above started as a black machine, then turned silver and slowly moved to the east changing shape to a ball of light. Lig",05/22/2013,
Open,05/20/2013 21:25,Oceanside,CA,USA,Fireball,"The circular object or light was bright orange in the center, and had a hazy red ring surrounding it.",04/14/2014,
Open,05/20/2013 21:25,Fall River Mills,CA,USA,Sphere,As my wife and I were traveling east on ca hwy299 we noticed 4 round orange/red objects in the sky then all of a sudden 2 of them moved,04/15/2014,
Open,05/19/2013 10:37,Paso Robles,CA,USA,Rectangle,"Gray/White object moving very fast photographed over Paso Robles. ((NUFORC Note: Hummingbird or cicada, we suspect. PD))",05/24/2013,
Open,05/19/2013 04:00,Oakley,CA,USA,Orb,"Went onto my back balcony at 4:30 this morning and saw a arc type light enter our atmosphere from the south,the arc light went over our",05/20/2013,
