Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open !,10/03/2025 00:00,Los Alamitos,CA,USA,Rectangle,Light-Up Disco Floor in the Sky,01/18/2026,
Open,09/29/2025 18:30,Martinez,CA,USA,Circle,About 15 - 20 black objects moving very slowly at the low cloud line; spread across the sky moving North at a very slow rate.,09/29/2025,
Open,09/28/2025 22:22,Lemoore,CA,USA,Orb,Orb Light Dancing Weaving Zig Zagging,09/29/2025,
Open,09/28/2025 20:19,Los Gatos,CA,USA,Circle,Light that flew at low altitude with no flashing lights and no sound. Disappeared suddenly,09/28/2025,
Open,09/27/2025 21:25,Los Angeles,CA,USA,Circle,"The bright light shot towards Glendale after seeing it for 25 seconds. and it looked like it hit something,",09/28/2025,
Open,09/26/2025 23:05,Madera,CA,USA,Unknown,Bright light formation that seemed to resemble a drone or a UAP,09/26/2025,
Open .,09/26/2025 23:00,Benicia,CA,USA,Triangle,"Something told me to run into my backyard in a hurry, when I got there I saw what appeared to be a lighted triangular shape in the sky.",09/28/2025,Y
Open,09/26/2025 20:15,Raymond,CA,USA,Changing,An orb type of UAP changing as it went over the sky.,09/28/2025,Y
Open,09/25/2025 21:45,Los Angeles,CA,USA,Orb,"Golden orb with a tail - looked like a comet. Crossing slowly N to SE. Orb/tail shrank, turned white and faded away slowly",09/27/2025,
Open,09/25/2025 00:49,Valley Springs,CA,USA,Light,Lights seen during lightning storm,10/19/2025,Y
Open,09/24/2025 21:40,Temecula,CA,USA,Changing,"Linear with 6-7 white lights, changed to orb for a few seconds, then back. Moved in unusual pattern",09/24/2025,Y
Open,09/23/2025 13:05,San Francisco,CA,USA,Orb,I was at home and saw several orbs in the day sky,09/23/2025,Y
Open,09/22/2025 22:20,Sunnyvale,CA,USA,Circle,Orange light moving erratically and fast.,09/22/2025,
Open,09/21/2025 08:48,Lancaster,CA,USA,Cylinder,"A vertical cylinder about 8 feet high by 6 foot circumference floating like a completely still balloon,",12/12/2025,Y
Open,09/18/2025 22:15,Stockton,CA,USA,Other,Fast moving lighted object traveling east to west was a very elongated flashing green & white object,09/18/2025,
Open,09/09/2025 11:40,Fontana,CA,USA,Diamond,Seen two bright sliver objects in sky moving,09/10/2025,Y
Open,09/07/2025 21:30,Santa Cruz,CA,USA,Star,It moved up and down and side to side unlike any aircraft I’ve ever seen. The brightest light. Looked like a dandelion shaped star.,09/08/2025,Y
Open,09/07/2025 20:00,Palos Verdes Estates,CA,USA,Unknown,"Unverified rocket, possibly deployed something",09/08/2025,
Open,09/06/2025 18:15,Nevada City,CA,USA,Orb,Silent Silver Orb,09/09/2025,
Open,09/02/2025 12:00,Ventura,CA,USA,Cigar,"Sighted object that appeared to follow coastline north of Ventura at approximately 1,000 ft. elevation.",09/02/2025,
Open,08/31/2025 11:10,Santa Rosa,CA,USA,Cigar,Long silver object above me.,08/31/2025,Y
Open,08/31/2025 02:30,El Cajon,CA,USA,Unknown,same craft that i reported about on previous early am,08/31/2025,
Open,08/30/2025 02:30,El Cajon,CA,USA,Unknown,was out walking dog when i noticed a white blinking light way off in the distance. realized it was moving back and forth,08/31/2025,
Open,08/29/2025 15:40,Lancaster,CA,USA,Cigar,Was relaxing when I looked up and saw a black shape object flying at a speed I never saw before,11/14/2025,Y
Open,08/29/2025 10:55,Simi Valley,CA,USA,Light,Horizontal bar with multiple white lights moved quickly up down and side to side in my view for approx 15 minutes,10/12/2025,Y
Open .,08/28/2025 23:38,Los Angeles,CA,USA,Chevron,V shaped craft with 9 circular white lights,08/30/2025,Y
Open .,08/27/2025 00:35,Sunnyvale,CA,USA,Diamond,Tracked object traveling south and realized it wasn't an aircraft.,08/27/2025,Y
Open,08/26/2025 20:45,San Jose,CA,USA,Circle,"Thought it was the International Space Station, but there were 2 objects orbiting side by side",08/26/2025,
Open,08/26/2025 19:14,Indio,CA,USA,Other,Saw object approximately 300-500 feet in the air approaching from the east. Object looked to be a floating black chair. Pictures taken.,09/13/2025,Y
Open .,08/26/2025 14:52,San Diego,CA,USA,Orb,Moving light blue bright orb moved into my line of vision then flew off at an incredible speed. A Red shadow followed it.,08/26/2025,
Open,08/25/2025 19:55,Bloomington,CA,USA,Flash,"Continuous blinking blue light, much too high. Stayed stationary,then would dart around. Didn't move linear until it left.",08/25/2025,Y
Open,08/24/2025 20:44,Rosamond,CA,USA,Triangle,"Night time walk, saw something slightly darker than the sky. I blinked to make sure I wasn’t seeing anything and then my husband saw it",08/24/2025,
Open,08/24/2025 05:15,Goleta,CA,USA,Light,Power went out so I went outside to let my dog out. Saw three separate lights no blinking lights moving,08/24/2025,
Open,08/23/2025 05:44,Covina,CA,USA,Oval,Seen though my camera,09/01/2025,Y
Open,08/22/2025 11:05,San Jose,CA,USA,Light,Fast moving of bright white dots in the clear sky,08/22/2025,
Open .,08/21/2025 20:10,Oroville,CA,USA,Light,"Saw real low, approx 500 ft, what I thought was a green a/c port nav light. At my 2 o'clock. Moving to my left, seemed very fast.",08/22/2025,
Open,08/20/2025 22:30,Bishop,CA,USA,Formation,"3 lights, 2 lights were about to touch, 3rd flew counterclockwise to front. Formed in triangle formation",08/27/2025,
Open,08/18/2025 18:38,San Diego,CA,USA,Sphere,Odd shaped craft traveling fast south to north,08/31/2025,
Open,08/18/2025 00:45,Bishop,CA,USA,Other,A translucent cloudy circle moved in an arc over clear night sky. Boomerang shape in beginning then clouded over. Fast & quiet,08/27/2025,
Open,08/16/2025 21:45,Woodland,CA,USA,Chevron,V shaped with 6 yellowish lights on each side no noise about 200’ wide,08/20/2025,
Open,08/16/2025 11:45,Los Angeles,CA,USA,Triangle,I saw a gray somewhat triangular craft that was moving slowly to the south east.,08/16/2025,
Open !,08/14/2025 22:15,Hayfork,CA,USA,Disk,Saucer shaped craft with hundreds of pulsing brightening/dimming lights covering the surface. It blended into the night sky very well,08/14/2025,Y
Open,08/12/2025 04:34,Riverside,CA,USA,Cigar,2 lights with a glowing orb circling around on side,08/12/2025,
Open,08/10/2025 21:20,Santa Ana,CA,USA,Triangle,"Triangle with amber lights at corners moved slowly, vanished; moments later, four smaller lights flew toward its path.",08/10/2025,
Open,08/10/2025 19:40,Hemet,CA,USA,Diamond,Saw Flash of white light looked up viewed shining Emerald green object in sky,08/25/2025,
Open .,08/09/2025 21:05,Agoura Hills,CA,USA,Light,Saw what appeared to be a satellite before it stopped and changed direction,08/09/2025,
Open,08/09/2025 15:07,El Cajon,CA,USA,Changing,"UFO in East County (El Cajon, CA)",08/09/2025,
Open,08/08/2025 20:45,Arcadia,CA,USA,Circle,"It was flashing red, blue and green lights, no pattern",08/08/2025,Y
Open,08/05/2025 22:15,Santa Cruz,CA,USA,Orb,Five pulsing red objects flying slowly till they disappeared.,08/17/2025,
Open,08/04/2025 00:00,Adin,CA,USA,Light,"Hundreds of lights seen appearing, brightening, traveling, and disappearing.",08/04/2025,
Open,08/03/2025 16:19,Angelus Oaks,CA,USA,Orb,"It was day time,no stars visible,looked up at the sky and saw a bright object slowly descending,faded away,came back,swooped up unusual",08/13/2025,Y
Open,08/03/2025 10:30,Santa Rosa,CA,USA,Other,Getting on to the freeway - saw a long horizontal thin silver flat object with bright lights or energy coming out the L/R sides,08/04/2025,
Open,07/30/2025 18:50,Los Angeles,CA,USA,Circle,Moving white dots in the sky before night fall,08/26/2025,
Open,07/28/2025 22:00,Brentwood,CA,USA,Unknown,Three parallel lights moving together then lost control burned up,07/29/2025,
Open .,07/27/2025 22:22,Pajaro Dunes,CA,USA,Orb,I was on the beach at Pajaro Dunes Resort with 3 other witnesses that were family memebers.,07/27/2025,
Open,07/23/2025 20:42,Anaheim,CA,USA,Light,Similar to a satellite but larger and faster,07/23/2025,
Open,07/22/2025 23:30,Forest Falls,CA,USA,Other,"A ""Blanket"" of lights on the side of the mountain",07/31/2025,
Open,07/20/2025 18:15,Grass Valley,CA,USA,Other,slow-moving pin-shaped and rotating; 2 iridescent green lower and 4 to 5 reddish-golden upper lights (asymmetric and ball shaped),07/22/2025,Y
Open,07/18/2025 21:27,Redding,CA,USA,Unknown,"Backyard, saw a bright light in the sky. Took phone out, as didn’t look like plane. Moving too fast. Mostly bright white colors too",01/10/2026,
Open,07/16/2025 20:00,Los Angeles,CA,USA,Circle,Saw in the sky an object that was doing circles around a star.,07/18/2025,
Open,07/16/2025 12:00,Long Beach,CA,USA,Egg,Tic Tac Shaped,07/29/2025,
Open,07/15/2025 02:39,San Jose,CA,USA,Unknown,"Extremely fast moving UAP, Giving orange light and a straight trail, But made no noise",07/15/2025,Y
Open,07/15/2025 02:23,Los Banos,CA,USA,Circle,Sighting of object shooting across sky with trail,07/15/2025,Y
Open,07/15/2025 02:23,Fairfield,CA,USA,Diamond,UFO crashing to earth,07/20/2025,Y
Open,07/13/2025 09:45,Modesto,CA,USA,Formation,The uap appears in frame at quickly ascends vertically at high speed while remaining control and direction maintaining solid formation.,07/20/2025,Y
Open .,07/12/2025 23:30,Lone Pine,CA,USA,Orb,Orb thought to be a closer prox landing light starting dancing in the sky before disappearing behind hills 30 miles away,07/13/2025,
Open,07/12/2025 22:00,Fullerton,CA,USA,Triangle,White lights in rigid triangle pattern flying quickly and silently,07/12/2025,
Open,07/12/2025 02:00,Los Banos,CA,USA,Light,Lights that seem like ball lightning from my distance traveling from west to east all appearing in the same location and disappearing,07/12/2025,
Open .,07/09/2025 21:34,Dana Point,CA,USA,Orb,US Navy MH 60S helicopter chasing orb,07/10/2025,Y
Open,07/09/2025 21:30,Redondo Beach,CA,USA,Orb,We saw 2 lights coming from the west that turned south,07/13/2025,
Open,07/09/2025 12:45,Buena Park,CA,USA,Cigar,White Metallic Cigar Shape - Huge,07/11/2025,
Open,07/07/2025 23:09,San Diego,CA,USA,Circle,"It had 2 red lights and 2 white bright lights, I think the red lights were blinking",07/07/2025,
Open,07/07/2025 04:19,Los Angeles,CA,USA,Fireball,Fast traveling ember like object at around 100 ft.high,07/07/2025,
Open,07/05/2025 02:00,Laguna Beach,CA,USA,Other,"A single light with small thunders of light around it, color changing , very organic when it was moving. Like pulse of color light",07/05/2025,
Open .,06/28/2025 22:23,Irwindale,CA,USA,Light,"I saw a low-flying, fast-moving aerial object that was clearly spinning at a high speed as it flew across the sky from left to right",07/02/2025,
Open,06/28/2025 22:10,Bakersfield,CA,USA,Light,Straight line of 8 lights moving slow and disappearing one by one after some time,07/03/2025,Y
